Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,year
25,86,8,100,1,0,0,0,0,0,4,5,86,3.28,138,62.31,parvesh,gf,2018
,,,,,,,,,,,,,,,,,,
24,48,5,0,0,0,0,0,0,0,4,2,48,1.83,89,53.93,parvesh,gf,2017
,,,,,,,,,,,,,,,,,,
7,3,2,0,0,0,0,0,0,0,0,0,3,0.42,17,17.64,parvesh,gf,2016
,,,,,,,,,,,,,,,,,,
23,47,5,100,3,0,0,0,0,0,3,1,47,1.91,121,38.84,ruturaj,gf,2018
,,,,,,,,,,,,,,,,,,
25,76,8,96.66,30,0,0,0,0,0,4,3,76,2.88,140,54.28,sunilkumargf,gf,2018
,,,,,,,,,,,,,,,,,,
24,58,7,96.77,31,3.22,0,0,1,0.04,2,3,57,2.29,101,56.43,sunilkumargf,gf,2017
,,,,,,,,,,,,,,,,,,
1,1,1,100,2,50,0,0,1,1,0,0,0,0,4,0,sunilkumargf,gf,2016
,,,,,,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,1,1,3,33.33,pankajgf,gf,2018
,,,,,,,,,,,,,,,,,,
13,16,3,50,6,0,0,0,0,0,0,0,16,1.23,49,32.65,pankajgf,gf,2017
,,,,,,,,,,,,,,,,,,
17,51,7,83.82,68,32.35,0,0,22,1.29,4,2,29,1.47,43,67.44,vinodkgf,gf,2018
,,,,,,,,,,,,,,,,,,
21,48,8,72,75,45.33,2,0,34,1.61,5,0,14,0.42,21,66.66,vinodkgf,gf,2017
,,,,,,,,,,,,,,,,,,
22,40,6,95.45,22,0,0,0,0,0,3,1,40,1.68,69,57.97,dharmarajc,hs,2018
,,,,,,,,,,,,,,,,,,
18,25,4,100,15,0,0,0,0,0,1,0,25,1.33,64,39.06,dharmarajc,hs,2017
,,,,,,,,,,,,,,,,,,
14,41,9,100,28,7.14,0,0,2,0.14,8,4,39,2.21,63,61.9,dharmarajc,hs,2016
,,,,,,,,,,,,,,,,,,
14,37,8,80,20,30,0,0,6,0.42,3,2,31,2,58,53.44,dharmarajc,hs,2015
,,,,,,,,,,,,,,,,,,
15,61,9,95.23,42,45.23,0,0,19,1.26,1,2,42,2.73,68,61.76,dharmarajc,hs,2014
,,,,,,,,,,,,,,,,,,
16,52,7,93.54,31,41.93,0,0,13,0.81,5,2,39,2.12,69,56.52,dharmarajc,hs,2013
2,1,1,40,5,20,0,0,1,0.5,0,0,0,0,1,0,arunkumar,hs,2018
,,,,,,,,,,,,,,,,,,
21,102,17,77.2,193,45.59,4,1,88,4.19,2,0,14,0.57,43,32.55,naveenhs,hs,2018
,,,,,,,,,,,,,,,,,,
21,147,13,81.99,261,55.17,2,5,144,6.85,1,0,3,0.09,9,33.33,prashanth,hs,2018
