Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team
,,,,,,,,,,,,,,,,,
16,17,5,0,0,0,0,0,0,0,1,1,17,1,53,32.07,harendra,mumba
,,,,,,,,,,,,,,,,,
10,6,4,0,0,0,0,0,0,0,2,0,6,0.4,13,46.15,chang,mumba
,,,,,,,,,,,,,,,,,
18,49,9,71.42,7,57.14,1,0,4,0.22,2,2,45,2.38,101,44.55,surinder,mumba
,,,,,,,,,,,,,,,,,
18,58,6,83.01,53,30.18,0,0,16,0.88,5,1,42,2.05,72,58.33,sandeepmumba,mumba
,,,,,,,,,,,,,,,,,
niteshk,UP,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
18,51,7,0,2,50,0,0,1,0.05,6,3,50,2.44,85,58.82,niteshk,UP
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3,7,4,66.66,6,100,0,0,6,2,0,0,1,0.33,1,100,ankush,UP
,,,,,,,,,,,,,,,,,
4,6,3,65.38,26,23.07,0,0,6,1.5,0,0,0,0,1,0,azad,UP
,,,,,,,,,,,,,,,,,
10,46,10,73.45,113,38.05,0,1,43,4.3,1,0,3,0.2,11,27.27,monug,UP
,,,,,,,,,,,,,,,,,
14,47,9,84.49,129,35.65,2,0,46,3.28,0,0,1,0.07,8,12.5,rishank,UP
,,,,,,,,,,,,,,,,,
18,117,15,77.17,241,47.3,2,3,114,6.33,0,0,3,0.16,8,37.5,shrinkant,UP
,,,,,,,,,,,,,,,,,
15,62,8,75.65,152,35.52,1,0,54,3.6,1,0,8,0.46,14,57.14,surendergikk,UP
,,,,,,,,,,,,,,,,,
4,11,5,52.17,23,43.47,0,0,10,2.5,0,0,1,0.25,4,25,surendersin,UP
,,,,,,,,,,,,,,,,,
18,32,4,100,1,0,0,0,0,0,2,0,32,1.66,79,40.5,ashusin,UP
,,,,,,,,,,,,,,,,,
18,25,4,100,14,14.28,0,0,2,0.11,2,0,23,1.16,64,35.93,amitsin,UP
,,,,,,,,,,,,,,,,,
18,63,6,85.71,7,28.57,0,0,2,0.11,1,5,61,3.33,111,54.95,sumitsin,UP
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
11,8,2,65.51,29,17.24,0,0,5,0.45,1,0,3,0.18,8,37.5,mohsenm,UP
